x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0,route_ran_0,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1,route_ran_1,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2,route_ran_2,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3,route_ran_3,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,x_4,y_4,vel_4,accel_4,orientation_4,dist_qb_4,receiver_type_4,route_ran_4,defensor_x_4_0,defensor_y_4_0,defensor_vel_4_0,defensor_accel_4_0,defensor_orientation_4_0,defensor_x_4_1,defensor_y_4_1,defensor_vel_4_1,defensor_accel_4_1,defensor_orientation_4_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
46.05,9.82,0.35,0.94,84.20999999999998,14.536894441386023,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.94,21.04,0.1,0.13,80.94999999999999,2.751472333133659,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,42.269999999999996,20.919999999999995,3.33,1.92,46.120000000000005,45.25,28.619999999999997,0.3,0.75,85.75999999999999,5.804937553497024,TE,GO,44.980000000000004,27.189999999999998,3.88,0.6,216.82,44.599999999999994,27.31,3.94,0.87,214.3,45.22,37.05,0.23,0.53,127.55000000000001,13.638317344892663,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.879999999999995,36.47,1.38,2.13,259.62,46.040000000000006,44.94,0.24,0.68,86.72000000000003,21.526787962907985,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,42.03,23.789999999999996,104.62,0.29,273.62,0.74,2,C
46.099999999999994,9.829999999999998,0.64,1.48,82.93,14.55244652970764,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.93000000000001,21.04,0.09,0.05,84.22000000000003,2.750654467576758,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,42.269999999999996,20.919999999999995,3.33,1.92,46.120000000000005,45.31,28.629999999999995,0.69,1.81,84.55000000000001,5.8692418590479,TE,GO,44.980000000000004,27.189999999999998,3.88,0.6,216.82,44.599999999999994,27.31,3.94,0.87,214.3,45.260000000000005,37.03,0.52,1.18,131.51999999999998,13.637833405640363,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.879999999999995,36.47,1.38,2.13,259.62,46.08,44.93,0.49,1.47,86.72000000000003,21.532015697560695,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,41.989999999999995,23.789999999999996,106.99000000000001,0.4,270.96,0.82,2,C
46.19,9.829999999999998,0.98,1.91,82.93,14.592604291215462,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.93000000000001,21.029999999999994,0.09,0.05,85.13,2.7600181158825765,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,42.269999999999996,20.919999999999995,3.33,1.92,46.120000000000005,45.400000000000006,28.639999999999997,1.06,2.67,87.22000000000003,5.9576925063316315,TE,GO,44.980000000000004,27.189999999999998,3.88,0.6,216.82,44.599999999999994,27.31,3.94,0.87,214.3,45.33,37.0,0.78,1.58,135.24,13.638042381515028,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.879999999999995,36.47,1.38,2.13,259.62,46.150000000000006,44.919999999999995,0.84,2.18,87.93,21.545324318747213,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,41.94,23.789999999999996,112.19,0.6,273.56,1.14,2,C
46.33,9.839999999999996,1.46,2.6,79.24000000000001,14.65514244216002,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.91,21.0,0.27,0.56,89.73000000000002,2.800285699709939,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,42.269999999999996,20.919999999999995,3.33,1.92,46.120000000000005,45.53,28.639999999999997,1.43,2.84,82.95999999999998,6.068047461910625,TE,GO,44.980000000000004,27.189999999999998,3.88,0.6,216.82,45.36,27.049999999999997,3.69,0.34,224.46,45.43000000000001,36.94,1.24,2.74,133.13,13.613713674086144,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.879999999999995,36.47,1.38,2.13,259.62,46.260000000000005,44.91,1.32,2.94,81.38999999999999,21.561637229115973,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,41.870000000000005,23.799999999999997,114.07,0.74,276.54,1.21,2,C
46.510000000000005,9.849999999999994,1.99,3.34,84.94999999999999,14.736349615830921,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.89,20.949999999999996,0.51,1.03,93.82,2.8617477177417325,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,42.269999999999996,20.919999999999995,3.33,1.92,46.120000000000005,45.730000000000004,28.65,2.11,3.75,91.07,6.24092941796332,TE,GO,44.980000000000004,27.189999999999998,3.88,0.6,216.82,45.36,27.049999999999997,3.69,0.34,224.46,45.56999999999999,36.87,1.73,3.21,133.13,13.59602883197884,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.849999999999994,36.19,1.43,1.31,266.61,46.42,44.89,1.78,3.37,80.36000000000001,21.582476688276536,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,41.790000000000006,23.81,115.25999999999999,0.91,278.09000000000003,1.26,2,C
46.75,9.869999999999997,2.53,3.65,84.01999999999998,14.839342977369315,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.849999999999994,20.86,0.88,1.65,96.27999999999997,2.9643211701838217,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,41.69,20.519999999999996,3.42,2.14,54.75999999999999,45.980000000000004,28.659999999999997,2.74,4.23,87.87,6.467588422279208,TE,GO,45.36,27.049999999999997,3.69,0.34,224.46,45.709999999999994,26.909999999999997,3.56,0.66,228.05,45.760000000000005,36.769999999999996,2.26,3.53,128.12,13.574512882604665,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.849999999999994,36.19,1.43,1.31,266.61,46.629999999999995,44.879999999999995,2.36,3.92,88.61000000000001,21.631624996749547,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.84,43.62,0.52,0.44,258.7,41.69,23.819999999999997,118.00999999999999,1.13,277.15999999999997,1.4,2,C
47.040000000000006,9.879999999999995,3.06,3.78,84.01999999999998,14.9877583380571,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.81,20.759999999999998,1.13,1.81,98.43,3.080162333384395,RB,FLAT,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,41.69,20.519999999999996,3.42,2.14,54.75999999999999,46.290000000000006,28.679999999999996,3.29,4.15,90.31,6.774614380169547,TE,GO,45.709999999999994,26.909999999999997,3.56,0.66,228.05,45.36,27.049999999999997,3.69,0.34,224.46,45.989999999999995,36.65,2.75,3.51,127.23000000000002,13.563823207340914,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.849999999999994,36.19,1.43,1.31,266.61,46.900000000000006,44.86,2.88,3.88,87.00999999999999,21.697384635019954,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.86,43.72,0.46,0.58,261.31,41.56,23.83,131.04000000000002,1.38,277.03,1.63,2,C
47.39,9.899999999999999,3.7,4.19,80.79000000000002,15.177710631053683,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.769999999999996,20.61,1.55,2.31,100.99000000000001,3.2599386497294685,RB,FLAT,41.69,20.519999999999996,3.42,2.14,54.75999999999999,41.989999999999995,20.709999999999994,3.37,2.05,49.129999999999995,46.650000000000006,28.709999999999997,3.78,3.8,90.31,7.1468314657616,TE,GO,45.709999999999994,26.909999999999997,3.56,0.66,228.05,46.05,26.759999999999998,3.24,1.03,229.62,46.28,36.519999999999996,3.28,3.61,127.91000000000003,13.573717250628142,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.849999999999994,36.19,1.43,1.31,266.61,47.209999999999994,44.86,3.36,3.79,83.91000000000003,21.79587346265343,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.86,43.72,0.46,0.58,261.31,41.41,23.849999999999998,135.85000000000002,1.58,276.95,1.62,2,C
47.790000000000006,9.919999999999995,4.26,4.35,84.42000000000002,15.411197227989792,WR,GO,48.099999999999994,9.379999999999995,0.06,0.04,282.9,48.099999999999994,9.379999999999995,0.04,0.19,284.65,41.72,20.439999999999998,1.93,3.26,105.89999999999998,3.463423162133094,RB,FLAT,41.69,20.519999999999996,3.42,2.14,54.75999999999999,41.39,20.349999999999994,3.48,2.3,57.610000000000014,47.08,28.749999999999996,4.4,3.82,95.31,7.610519036176181,TE,GO,46.05,26.759999999999998,3.24,1.03,229.62,46.36,26.619999999999997,2.97,1.53,231.0,46.599999999999994,36.379999999999995,3.69,3.22,124.36000000000001,13.609911829251502,WR,CORNER,50.849999999999994,36.33,1.51,1.87,263.14,50.849999999999994,36.19,1.43,1.31,266.61,47.56999999999999,44.849999999999994,3.86,3.59,78.29000000000002,21.91413470799155,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.86,43.72,0.46,0.58,261.31,41.239999999999995,23.869999999999997,139.67000000000002,1.79,276.22,1.57,2,C
48.25,9.949999999999996,4.78,4.09,84.42000000000002,15.68960165204968,WR,GO,48.129999999999995,9.379999999999995,0.16,0.38,284.63,48.11,9.379999999999995,0.06,0.07,280.96,41.67,20.22,2.37,3.34,111.51999999999998,3.722002149381431,RB,FLAT,41.69,20.519999999999996,3.42,2.14,54.75999999999999,41.39,20.349999999999994,3.48,2.3,57.610000000000014,47.55,28.789999999999996,4.96,4.01,89.08999999999997,8.140024569987489,TE,GO,46.64,26.49,2.53,1.73,237.76,46.36,26.619999999999997,2.97,1.53,231.0,46.980000000000004,36.25,4.05,2.94,112.32,13.708920453485758,WR,CORNER,50.849999999999994,36.19,1.43,1.31,266.61,50.849999999999994,36.33,1.51,1.87,263.14,47.980000000000004,44.839999999999996,4.23,3.06,78.91000000000003,22.066431519391625,WR,IN,52.849999999999994,43.68,0.53,0.39,259.81,52.86,43.72,0.46,0.58,261.31,41.05,23.889999999999997,143.24,1.98,277.02,1.41,2,C
